ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
841567,Chavda Vinod Lakhamashi,Elected,"Thursday, May 23, 2019",In office,Second Term,Kachchh,Gujarat,Bharatiya Janata Party,Male,Professional Graduate,"L.L.B., B.Ed.",40,8,0,10,91%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0.4,37,92%,,Lok Sabha
841873,Chhatar Singh Darbar,Elected,"Thursday, May 23, 2019",In office,Third Term,Dhar,Madhya Pradesh,Bharatiya Janata Party,Male,Professional Graduate,"M.A., LL.B. Educated at Government College of Arts and Commerce, Indore and Christian College, Indore",65,4,0,8,74%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11,0.2,23,90%,,Lok Sabha
841739,Chhedi Paswan,Elected,"Thursday, May 23, 2019",In office,Fourth Term,Sasaram,Bihar,Bharatiya Janata Party,Male,Post Graduate,M.A.,63,5,0,5,70%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.5,28,86%,,Lok Sabha
841874,Chinta Anuradha,Elected,"Thursday, May 23, 2019",In office,First Term,Amalapuram,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Female,Graduate,"B.A. Educated at Lalitha Degree College, Osmania University, Hyderabad (now Telangana), Andhra Pradesh",47,7,0,0,81%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0,29,85%,,Lok Sabha
841575,Chirag Kumar Paswan,Elected,"Thursday, May 23, 2019",In office,Second Term,Jamui,Bihar,Lok Jan Shakti Party,Male,Professional Graduate,B. Tech Computer Science,37,8,0,20,72%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.5,28,86%,,Lok Sabha
841820,Choudhury Mohan Jatua,Elected,"Thursday, May 23, 2019",In office,Third Term,Mathurapur,West Bengal,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,81,0,0,0,72%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.2,20,81%,,Lok Sabha
841579,Chudasama Rajeshbhai Naranbhai,Elected,"Thursday, May 23, 2019",In office,Second Term,Junagadh,Gujarat,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,37,0,0,87,67%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0.4,37,92%,,Lok Sabha
841875,Chunni Lal Sahu,Elected,"Thursday, May 23, 2019",In office,First Term,Mahasamund,Chhattisgarh,Bharatiya Janata Party,Male,Information not available,Information Not Available,51,6,0,30,96%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,6.3,0,19,94%,,Lok Sabha
841876,D. Ravikumar,Elected,"Thursday, May 23, 2019",In office,First Term,Viluppuram,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Information not available,Information Not Available,,22,1,29,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841647,D.K. Suresh,Elected,"Thursday, May 23, 2019",In office,Third Term,Bangalore Rural,Karnataka,Indian National Congress,Male,Inter/ Higher Secondary,Inter/Higher Secondary,53,4,0,89,79%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,5.1,0,37,78%,,Lok Sabha
843209,D.M. Kathir Anand,Elected,"Friday, August 9, 2019",In office,First Term,Vellore,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Information not available,Information not available,,2,0,9,90%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),4.6,0.1,15,86,5.3,0,19,84%,,Lok Sabha
841765,D.V. Sadananda Gowda,Elected,"Thursday, May 23, 2019",In office,Fourth Term,Bangalore North,Karnataka,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.)",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,Lok Sabha
841877,Dabhi Bharatsinhji Shankarji,Elected,"Thursday, May 23, 2019",In office,First Term,Patan,Gujarat,Bharatiya Janata Party,Male,Graduate,Information Not Available,64,2,0,2,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0.4,37,92%,,Lok Sabha
841692,Darshana Vikram Jardosh,Elected,"Thursday, May 23, 2019",In office,Third Term,Surat,Gujarat,Bharatiya Janata Party,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",58,15,0,31,95%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0.4,37,92%,,Lok Sabha
841631,Dayakar Pasunoori,Elected,"Thursday, May 23, 2019",In office,Second Term,Warangal,Telangana,Telangana Rashtra Samithi,Male,Graduate,"Educated at Jawaharlal Nehru Technological University, Hyderabad, Telangana",52,1,0,29,72%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,8.4,0,29,80%,,Lok Sabha
