Title,Date,Participants,Ref.Keywords
"Introduction of the Protection of Children from Sexual Offences (Amendment) Bill, 2017 (Insertion of new section 38 A)",43167,Mahajan Smt. Poonam ,"Child Abuse,Offenders"
"Introduction of the Skill (Training and Education) Bill, 2018. ",43167,Sule Smt. Supriya Sadanand,"Educational Development,Employment Generation,Skill Development"
"Introduction of the Mensurual Hygiene Management (Awareness And Affordable Sanitary Napkin Distribution) Bill, 2018. ",43167,Sule Smt. Supriya Sadanand,"Sanitation,Health and Hygiene,Awareness Programme"
"Introduction of the Anganwadi Workers (Empowerment and Welfare) Bill, 2018. ",43167,Sule Smt. Supriya Sadanand,"Health Insurance,Wages,Reservation,Regularisation,Honorarium"
"Introduction of the Compulsory First-Aid Training in Schools Bill, 2018. ",43167,Patil Shri Shivaji Adhalrao,"Compulsory Education,Medical Treatment,Education & Training"
"Introduction of the Prevention of Cruelty to Animals (Amendment) Bill, 2018 (Amendment of section 22)",43167,Patil Shri Shivaji Adhalrao,"Animal Protection,Religious Fairs,Bullock Cart Race"
"Introduction of the Maternity Benefit (Amendment) Bill, 2018 (Amendment of Section 3, etc.)",43167,Patil Shri Shivaji Adhalrao,"Pregnancy,Women Welfare,pre-maternity benefits"
"Introduction of the Compulsory Establishment of Medical Centres in Schools Bill, 2018. ",43167,Patil Shri Shivaji Adhalrao,"Medical Facilities,Medical Treatment"
"Introduction of the Tribal Children and Lactating Women in Jharkhand and other States (Removal of Hunger, Malnutrition and Prevention of Starvation Deaths) Bill, 2017. ",43167,Dubey Shri Nishikant ,"Adolescence,Fund Allocation,Malnutrition,Pregnancy,Girl Child"
"Introduction of the Prevention of Crimes in the name of Honour and Tradition and Prohibition of Interference with the Freedom of Matrimonial Alliances Bill, 2017. ",43167,Dubey Shri Nishikant ,"Family Law,Law and Order,Marriage,Honour Killing"
"Introduction of the Constitution (Amendment) Bill, 2017 (Insertion of new article 21B)",43167,Dubey Shri Nishikant ,"Basic Amenities,Housing For All"
"Introduction of the Right of Children to Free and Compulsory Education (Amendment) Bill, 2018 (Amendment of section 2, etc.)",43167,Dubey Shri Nishikant ,"Child Development,Educational Development,Right to Education"
"Introduction of the Indian Diaspora and Education Infrastructure (Brain Drain Cess) Bill, 2017. ",43167,Jena Shri Rabindra Kumar,"Income Tax,Scholarships,Non-Resident Indians (NRIs)"
"Introduction of the Representation of the People (Amendment) Bill, 2017 (Amendment of section 2,etc.)",43167,Jena Shri Rabindra Kumar,"Election Commission,Elections,Penalty"
"Introduction of the High Court of Orissa (Establishment of a Permanent Bench at Balasore) Bill, 2017. ",43167,Jena Shri Rabindra Kumar,"Court Benches,Courts"
"Introduction of the Constitution (Amendment) Bill, 2017 (Amendment of article 123, etc.)",43167,Jena Shri Rabindra Kumar,Ordinance
